"","ID code","PDINY01","PDINY02","PDINY03","PDINY04","PDINY05","PDINY06","PDINY07","PDINY08","PDINY09","PDINY10","PDINY11","PDINY12","PDINY13","PDINY14","PDINY15","PDINY16","PDINY17","PDINY18","PDINY19","PDINY20","PDINY21","PDIDI01","PDIDI02","PDIDI03","PDIDI04","PDIDI05","PDIDI06","PDIDI07","PDIDI08","PDIDI09","PDIDI10","PDIDI11","PDIDI12","PDIDI13","PDIDI14","PDIDI15","PDIDI16","PDIDI17","PDIDI18","PDIDI19","PDIDI20","PDIDI21","PDIPR01","PDIPR02","PDIPR03","PDIPR04","PDIPR05","PDIPR06","PDIPR07","PDIPR08","PDIPR09","PDIPR10","PDIPR11","PDIPR12","PDIPR13","PDIPR14","PDIPR15","PDIPR16","PDIPR17","PDIPR18","PDIPR19","PDIPR20","PDIPR21","PDICO01","PDICO02","PDICO03","PDICO04","PDICO05","PDICO06","PDICO07","PDICO08","PDICO09","PDICO10","PDICO11","PDICO12","PDICO13","PDICO14","PDICO15","PDICO16","PDICO17","PDICO18","PDICO19","PDICO20","PDICO21"
"791","A8I9hcpi","1","0","1","0","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","1","1","3","0","2","0","4","0","3","0","0","1","0","0","0","0","0","1","0","0","0","3","3","1","0","1","0","3","0","1","0","0","1","0","0","0","0","0","2","0","0","0","1","3","3","0","2","0","5","0","1","0","0","1","0","0","0","0","0","5","0","0","0","2","3"
"792","zSflLyLV","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"793","yVOtCcfh","0","0","1","0","0","0","1","0","1","0","0","0","0","1","1","1","1","1","0","0","1","0","0","5","0","0","0","1","0","1","0","0","0","0","2","1","2","4","3","0","0","4","0","0","4","0","0","0","1","0","1","0","0","0","0","1","1","2","4","2","0","0","2","0","0","5","0","0","0","3","0","3","0","0","0","0","4","3","3","2","3","0","0","3"
"794","tKFmSdom","0","1","1","0","0","1","1","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","4","2","0","0","2","2","0","0","0","0","0","4","1","3","0","5","0","0","0","0","0","3","1","0","0","4","4","0","0","0","0","0","3","1","2","0","4","0","0","0","0","0","1","4","0","0","4","5","0","0","0","0","0","1","5","2","0","3","0","0","0","0"
"795","ENzJ20Eo","1","0","0","0","0","0","0","1","1","1","0","0","0","0","1","1","0","0","0","0","1","2","0","0","0","0","0","0","1","1","2","0","0","0","0","3","1","0","0","0","0","3","1","0","0","0","0","0","0","3","3","3","0","0","0","0","2","3","0","0","0","0","2","2","0","0","0","0","0","0","3","3","3","0","0","0","0","2","2","0","0","0","0","3"
"796","pvAJVgyA","1","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","2","0","2","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","4","0","0","2","0","2","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","4","0","0","4","0","4","0","0","0","0","0","0","0"
"797","CoE7qgFE","1","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","4","0","4","0","0","1","4","0","0","0","0","0","0","0","4","0","0","0","0","0","0","4","0","5","0","0","2","4","0","0","0","0","0","0","0","4","0","0","0","0","0","0","2","0","4","0","0","4","4","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"798","QyczobRN","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","3","0","0","0","0","1","0","0","3","0","0","0","1","0","0","2","0","0","0","0","0","2","0","0","0","0","2","0","0","3","0","0","0","3","0","0","4","0","0","0","0","0","5","0","0","0","0","2"
"799","LEqC1zzE","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"800","niSFoSkR","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"801","022123DG","0","1","0","0","0","1","1","0","1","1","1","0","0","0","0","1","0","0","0","0","1","0","3","0","0","0","1","1","0","1","4","1","0","0","0","0","3","0","0","0","0","2","0","3","0","0","0","2","4","0","1","3","1","0","0","0","0","3","0","0","0","0","2","0","5","0","0","0","4","4","0","5","5","4","0","0","0","0","1","0","0","0","0","2"
"802","VC2Vo7oX","1","0","1","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","3","0","4","0","0","3","2","3","0","0","0","0","4","0","0","0","0","0","0","0","0","3","0","1","0","0","2","4","3","0","0","0","0","4","0","0","0","0","0","0","0","0","2","0","3","0","0","2","4","1","0","0","0","0","4","0","0","0","0","0","0","0","0"
"803","7S5Att3L","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"804","HPWnyeis","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"805","DtUTgizx","1","0","1","0","0","0","0","0","1","0","0","1","0","1","1","0","0","0","0","0","0","3","0","2","0","0","0","0","0","4","0","0","3","0","4","4","0","0","0","0","0","0","3","0","2","0","0","0","0","0","3","0","0","4","0","4","3","0","0","0","0","0","0","3","0","3","0","0","0","0","0","4","0","0","4","0","4","3","0","0","0","0","0","0"
"806","GoPFdynQ","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","4","0","5","0","3","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","5","0","3","0","4","0","0","0","0","0","2","0","0","0","0","0","0","0","0","3","0","5","0","3","0","5","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"807","ZmFjmcNd","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","0","1","0","0","0"
"808","MKWQSC97","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","5","0","0","0","0","0","0"
"809","LRS57dpY","1","0","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","0","1","1","2","0","4","3","5","2","2","1","2","3","0","3","5","4","4","1","4","4","0","3","2","3","0","4","2","3","3","4","4","2","4","0","2","5","3","4","4","3","3","0","3","2","3","0","5","1","2","3","4","3","3","4","0","3","3","4","4","5","4","5","0","5","4"
"810","Ncqhhks0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","3","0","4","0","0","0","2","0","0","0","0","0","0","0","3","0","0","0","0","3","0","4","0","4","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","4","0","4","0","3","0","0","0","3","0","0","0","0","0","0","0","4","0","0","0","0","2","0"
"811","8X0w3tu9","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","3","0","0","1","0","0"
"812","xfnYoaK7","1","0","1","0","1","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","3","0","3","0","1","0","0","0","2","0","0","0","0","0","0","0","2","3","2","0","0","2","0","2","0","2","0","0","0","2","0","0","0","0","0","0","0","1","2","1","0","0","2","0","3","0","1","0","0","0","1","0","0","0","0","0","0","0","2","2","1","0","0"
"813","n4j1eQYS","1","0","1","1","1","1","1","0","0","0","0","0","0","0","1","0","1","1","1","0","0","3","0","2","2","3","1","1","0","0","0","0","0","0","0","2","0","3","3","1","0","0","2","0","2","2","1","3","3","0","0","0","0","0","0","0","1","0","1","1","1","0","0","2","0","2","2","1","1","2","0","0","0","0","0","0","0","1","0","3","1","1","0","0"
"814","7U9u9hIP","0","0","0","0","0","1","1","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","3","0","3","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","2","2","0","2","0","0","0","0","0","0","0","0","0","0","0","4","5","0","0","0","0","3","1","0","1","0","0","0","0","0","0"
"815","THkGTFHk","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","3","0","3","3","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","1","0","5","5","0","0","0","0","0"
"816","CojxXwFg","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","1","3","3","0","0","1","0","0","0","0","0","0","1","0","0","0","0","2","0","0","0","1","2","1","0","0","1","0","0","0","0","0","0","2","0","0","0","0"
"817","GUbW1nAt","1","0","0","0","0","1","1","1","0","1","0","0","0","1","1","1","1","0","0","0","1","3","0","0","0","0","4","5","3","0","5","0","0","0","4","3","1","4","0","0","0","2","2","0","0","0","0","3","4","1","0","3","0","0","0","3","3","1","1","0","0","0","2","2","0","0","0","0","4","4","2","0","4","0","0","0","4","4","5","5","0","0","0","1"
"818","9ptWXdqg","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","1","0","1","0","0","0","0","0","2","0","0","4","4","0","0","1","0","0","0","1","0","1","0","1","0","0","0","0","0","3","0","0","4","4","0","0","1","0","0","0","1","0","1","0","1","0","0","0","0","0","4","0","0","3","4","0","0","5","0","0","0","2","0","1","0","2","0","0","0"
"819","0ahTzNe3","1","0","1","0","1","0","1","0","0","0","0","1","0","0","0","1","0","1","0","1","0","2","0","3","0","3","0","1","0","0","0","0","1","0","0","0","2","0","3","0","3","0","2","0","3","0","1","0","1","0","0","0","0","4","0","0","0","1","0","1","0","2","0","5","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"820","4aqER2sM","0","0","1","1","0","1","1","0","1","0","0","1","1","0","0","0","1","1","0","0","0","0","0","4","4","0","1","2","0","2","0","0","3","5","0","0","0","5","2","0","0","0","0","0","2","1","0","5","4","0","4","0","0","2","3","0","0","0","4","1","0","0","0","0","0","5","1","0","4","5","0","4","0","0","4","1","0","0","0","5","1","0","0","0"
"821","Dl33MI5Y","0","0","0","0","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","2","3","4","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","3","3","4","0","0","0","0","0","0","0"
"822","Pt0Kd88F","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","2","0","0","1","0","0","0","0","2","0","0","0","0","0","0","3","0","0","0","0","0","5","0","0","5","0","0","0","0","5","0","0","0","0","0","0"
